Season ;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA
2016;09.12.2016;Ein Frankfurt;Hoffenheim;0;0;D;0;0;D;15;3;3;0;28;17;11;2;4;3;1;0;2,4;3,3;3;2,4;3,4;2,95
2016;10.12.2016;Bayern Munich;Wolfsburg;5;0;H;2;0;H;19;6;10;3;13;4;10;2;1;0;0;0;1,17;7,5;17;1,16;7,75;17
2016;10.12.2016;FC Koln;Dortmund;1;1;D;1;0;H;7;11;2;4;26;18;1;6;2;3;1;0;5,5;4,33;1,57;5,25;4,25;1,6
2016;10.12.2016;Freiburg;Darmstadt;1;0;H;0;0;D;12;16;2;4;11;9;6;5;3;4;0;0;1,67;3,75;5,5;1,67;3,9;5,25
2016;10.12.2016;Hamburg;Augsburg;1;0;H;0;0;D;11;11;5;2;16;16;3;5;1;3;1;1;2,3;3,2;3,25;2,3;3,4;3,1
2016;10.12.2016;Hertha;Werder Bremen;0;1;A;0;1;A;11;13;4;6;17;14;5;1;0;3;0;0;1,73;3,75;5;1,75;3,7;4,75
2016;10.12.2016;Ingolstadt;RB Leipzig;1;0;H;1;0;H;4;13;1;3;19;16;3;4;1;4;1;0;4,33;3,75;1,8;4,75;3,75;1,75
2016;11.12.2016;M'gladbach;Mainz;1;0;H;0;0;D;9;12;3;4;13;15;4;1;2;0;0;1;1,67;4;5;1,72;3,7;5
2016;11.12.2016;Schalke 04;Leverkusen;0;1;A;0;0;D;11;13;0;2;10;15;4;3;3;3;1;0;2,3;3,3;3,2;2,35;3,4;3
2016;16.12.2016;Hoffenheim;Dortmund;2;2;D;2;1;H;13;14;5;4;22;18;2;4;5;1;0;1;3,8;4;1,85;3,75;4,1;1,91
2016;17.12.2016;Augsburg;M'gladbach;1;0;H;0;0;D;8;8;1;3;16;12;3;0;0;0;0;0;3,2;3,1;2,4;2,95;3,4;2,4
2016;17.12.2016;Mainz;Hamburg;3;1;H;1;1;D;19;10;8;3;12;15;6;6;2;3;0;0;1,91;3,6;4;1,95;3,7;3,75
2016;17.12.2016;RB Leipzig;Hertha;2;0;H;1;0;H;16;3;8;0;10;14;9;1;1;3;0;0;1,62;3,8;6;1,65;3,9;5,25
2016;17.12.2016;Schalke 04;Freiburg;1;1;D;0;0;D;17;6;2;2;12;9;9;1;1;0;0;0;1,67;4;5;1,65;4;5,25
2016;17.12.2016;Werder Bremen;FC Koln;1;1;D;1;1;D;10;14;5;5;17;17;4;5;1;4;0;0;2,6;3,4;2,7;2,65;3,3;2,7
2016;17.12.2016;Wolfsburg;Ein Frankfurt;1;0;H;1;0;H;15;7;3;1;17;18;4;2;3;4;0;0;2,5;3,2;3;2,45;3,3;2,95
2016;18.12.2016;Darmstadt;Bayern Munich;0;1;A;0;0;D;10;13;2;2;18;11;3;1;1;2;0;0;19;8;1,14;23;9,25;1,11
2016;18.12.2016;Leverkusen;Ingolstadt;1;2;A;0;1;A;5;17;3;7;17;16;1;4;1;2;1;0;1,55;4;6,25;1,55;4;6,5
2016;20.12.2016;Dortmund;Augsburg;1;1;D;0;1;A;23;8;8;3;10;19;6;2;1;2;0;0;1,3;5,5;10;1,3;5,5;10
2016;20.12.2016;Ein Frankfurt;Mainz;3;0;H;1;0;H;9;11;4;6;14;9;6;6;3;0;0;1;2;3,4;3,9;2,05;3,4;3,7
2016;20.12.2016;Hamburg;Schalke 04;2;1;H;0;0;D;11;6;7;3;13;11;4;5;2;4;0;0;3,3;3,25;2,3;3,1;3,4;2,3
2016;20.12.2016;M'gladbach;Wolfsburg;1;2;A;0;1;A;20;18;4;7;18;18;5;6;1;2;0;0;1,95;3,5;4;1,95;3,5;3,9
